类别	新闻标题	新闻内容
时尚	每个男人心中都有一个小三	出轨搞外遇已经成为了婚姻生活的一大杀手，在人们的思想里，男人总是花心，吃着碗里瞧着锅里。在男人的感情生活中，总会闪过无数形形色色的女人：情窦初开时的初恋女友，青春时代的校园红颜，步入职场的同事暧昧，偶然相遇的陌生女子……所有的这些艳遇，都会成为男人心中的美好向往。；楹螅本以为男人会专情维护一段稳固的婚姻，可是，你会发现男人的心中会有小三的存在，婚姻生活似乎不影响在他的感情史上再添加上另外一个女人的一笔。男人的一生都在追求爱情，不管他的婚姻生活是否美满，男人都会在心中为小三留一块位置。为什么男人今生就和小三纠缠上了呢？４诵∪非彼小三Ｋ灯鹦∪，人们肯定就认为是那些破坏自己婚姻生活，和自己丈夫鬼混在一块发生不正当关系的女人。可是，此处说的小三并非我们平时认为的那种小三。Ｄ腥诵闹卸甲∽诺男∪，不一定和男人发生过关系。这个小三，可能只是跟男人有过一面之缘，或者有过初步的交往。她可能是过去式的，可能是现在进行时的，但是也可能是异地遥远的……她可能是男人的初恋女友，可能是职场中暧昧的同事，可能是马路上擦肩而过邂逅的美女，可能是红颜知己……一切皆有可能。Ｋ以，我们不能由此而说丈夫出轨或者外遇，因为这些小三只存在于男人的心里，并不一定游离在你们的现实生活中。Ｐ睦砑耐旋；橐錾活看似美满幸福，可是繁琐的小事，天天影响着夫妻间的感情，因此才会有了七年之痒。女人会越来越唠叨，男人越来越不浪漫，生活日渐平淡，烦恼日渐增多，不少男人便会开始厌倦婚姻生活。Ｅ人和男人最大得不同就是女人对家庭的强烈责任感。当女人成家后，哪怕生活再平淡再困难，她们都会在平淡中体验不平凡，在困难中看到希望，因为她们对这个家庭有着强烈的责任感，不会轻易说离婚。而男人则大多时候收到生理欲望方面的影响，使自己蒙蔽了双眼做错事。Ｄ腥诵闹凶∽诺男∪，是男人的心理寄托。那个小三只住在他的心里，并没有出现在现实生活中。男人把对生活的不满和对生活的憧憬都寄托在心中的这个小三身上，有着妻子所有的优点，去掉妻子身上所有的缺点，是个完美的女神。正因为有了男人心中的这个小三，他才不会在现实中拈花惹草，这个小三维系着你们之间的婚姻。；孟氲亩韵簖Ｈ死喽加行曰孟耄男人的性幻想很早出现。在他们还是婴儿的时候，吮吸母乳就是一个表象。一般婴儿，在吃完母乳之后还会用手去抚摸母亲的胸部，寻求一种心理的满足，这便是男性性幻想的体现。Ｄ腥讼不堆扒蟠碳ず托孪矢校可是妻子在夫妻生活中却很少愿意尝试新的动作，无法给予男性新的感觉，让男人日渐厌倦。于是乎，男人便会在心中藏一个小三，这个小三，就像Ａ片中的性感女优，有着曼妙的身材，能胜任各种高难度动作，给男人飞一般的感受，让男人乐此不疲。在男人与妻子过夫妻生活时，这个小三便会从男人心中一跃而出，让夫妻生活更加和谐美满。Ｐ曰孟氡旧肀阄薅源碇分，因为这是人生来俱有的，女性也会有性幻想。所以，对于男人心中的这个小三，我们无需过多在意。Ｋ淙荒腥诵闹械恼飧鲂∪很少影响到婚姻感情，可是，再有修养的女性都爱吃醋，如果被你知晓了男人的这个秘密，那么你肯定便会小题大做，不会给男人好日子过。所以，男人不会轻易将这一切全盘告诉女人，特别是身边的女人。＜负趺恳桓瞿腥硕加泄花花绿绿的感情生活，好一点的男人会把小三放在心中的自留地住着，一些过分的男人会把小三在心中挖掘出来，让小三介入现实生活，成为第三者影响婚姻生活。毕竟有个情人有个小三对男人来说似乎是一个炫耀的资本，男人会因此觉得自豪。６耘性来说，如果你的丈夫只在心中住个小三，那么我们大可不要放在心中，男人会越阻止便越反抗的；可是如果他把小三带到你们的婚姻生活当中，那么你也不用跟他客气了，千万不要被这些小三把婚姻解体了。
时尚	喝水不等於补水　水要喝得聪明	水善白瘦美Ｒ做白富美，投胎要投好，想做白瘦美，靠水就能成。水不仅能美肌，还能排毒瘦身。有科学实验表明每日饮水８至１２杯，每周能瘦０．５公斤。尤其是冷水，因为冷水易被组织吸收，能使血管收缩，减慢脂肪吸收，而且经常喝水可使肠腔内保持足够的水分软化大便。但人体一生的含水量会由８０％降到５０％，水分流失量会与年龄成正比，如果想保持美好的年轻状态，就一定要保持体内水分充足，同时维持肌肤的水油平衡，让皮肤莹润饱满。＃牛螅簦浚濉。蹋幔酰洌澹蛳钢录≡淳粹水ＲＭＢ５２０／２００ｍｌ＝翠竹旺盛的生命力“推入”肌肤，深入肌底，将讨厌的硕大毛孔带走。肌肤如初生般细嫩，再也没有“毛孔示人”的烦恼了。＃牛螅簦浚濉。蹋幔酰洌澹蛴ㄈ蟊Ｊ竹粹水　新品未定价／２００ｍｌ１丈涎郏感受肌肤喝饱水的状态。独特的多种竹萃精华赋予肌肤丰盈水分，舒缓肌肤压力。深海离子为肌肤撑起保护膜，牢牢锁住水分。＃牵椋觯澹睿悖瑁焕颜美肌美容液ＲＭＢ４５０／２００ｍｌ＜虻サ陌装，却霸气十足。液体清透、细腻，纯净的感觉油然而生。肌肤仿佛回到了年轻时代。时间慢慢溜走，但是别忘了时刻给肌肤维龄。：人不等於补水，水要喝得聪明：攘怂，身体就有水分？错了！不分时间、不计较内容地喝，都只能是喝了水，但却未必补了水。喝水讲究时间、温度，补水靠得不只是喝纯净水，很多看不见的水反而更利於身体吸收。比如粥、汤、果蔬等，还要多吃利水食物，促进肾脏尿液的形成，达到身体水分平衡。所以补水也不能过量，当身体处於稳定状态的时候，每天正常补水１０００～２０００亳升，让小便保持清亮充沛就可以。如果一个健康人在不感觉口渴的情况下饮水超过２０００毫升那就是在考验肾脏功能。４蚩水通道，肌肤多喝水＜》舨顾光靠喝还不够，外在补水才能立竿见影。选对化妆水，补得才有效。每一款化妆水都有它独特的功能，保湿水就是针对干燥肌肤充分补水的﹔收敛水自然是收敛毛孔得心应手﹔而柔肤水具有去角质的功效，让续步骤吸收得更快。什麽样的水肌肤更容易吸收？能让肌肤更细嫩？＜亲×礁鍪分有用的选择标准：＠胱铀，经过离子平衡科技处理，根据正负离子相吸的原理，可以迅速被肌肤吸进去，补水到达率最高。？笪镏仕，最亲肤，和皮肤里的水分结构相似，所以很容易被皮肤吸收，并能让皮肤变得更健康。＃樱瑁椋螅澹椋洌铩『焐蜜露精华化妆液ＲＭＢ６２０／２００ｍｌＶ泄红的典雅设计让人眼前一亮，芍药的清新幽香更是媚到了骨子里。肌肤也能如这瓶身般透亮细腻，牢牢被它吸引，再也移不开视线。＃牛螅簦浚濉。蹋幔酰洌澹颉〗羰悼怪逯翊馑　新品未定价／２００ｍｌＯ麓刮薜性的脸——这是噩梦，快醒醒，绝不能忽视胶原蛋白。它含有能量促生化合物群，重塑肌肤胶原蛋白再生机制。紧致有弹性的美人肌，全靠它。＃茫欤椋睿椋瘢酰濉∥潞徒喾羲ＲＭＢ１８０／２００ｍｌＬ乇鸬陌给特别的你。４种配方，由你来挑选，呵护肌肤怎能不关注小细节？知己知彼，对症下药，才能将毛孔、粉刺一举歼灭。１Ｊ水也讲功能的！１Ｊ水除了分不同肤质类型，针对皮肤的不同需求还有许多功能。肌肤敏感、受损、暗沉、长斑、晒伤、早衰、发痘需要使用不同功能的化妆水。留心保湿水的成分，除了保湿之外还有什麽其他功能。Ｏ氚镏倦怠肌肤更加紧实，恢复弹力，加强皮肤抗外界污染和刺激的能力可以选择含有竹子萃取成分的水﹔＜》舭党粱蚍羯不均可选用含有黄瓜萃取精华和维生素Ｃ衍生物的美白功能化妆水，以及水杨酸这种促进角质层代谢的化妆水﹔Ｓ忻孔粗大问题的，可以考虑成分有葡萄糖胺和阔叶巨藻的化妆水，前者可以温和剥离角质，后者具有控油功效﹔Ｊ芩稹⒚舾行苑糁示涂裳『有金缕梅提取成分的水，可消炎、镇定肌肤。
时尚	伦敦人的时髦是城市养成的　奢侈品缺意味　图	英国的奢侈品文化和国内说的并不是一回事。我伦敦的朋友可能从奶奶那一辈开始就在用Ｃｈａｎｅｌ香水。对她们来讲就是几十欧买一瓶的事情，没有多大意味。伦敦女孩从小就看着山茶花胸针在祖母的首饰盒里、妈妈有条Ｃｈａｎｅｌ项链或者手包都很正常。与国人高不可及的奢侈品概念相比，她们对此没那么高期待值。因为伦敦人本身就这么活着的！大家没有很做作的说，我今天出门看起来一定要时髦高级。Ｊ导噬希你一走出家门就会看到伦敦满街的艺术画廊、博物馆、好的时装店就在身边、转个弯就能坐进很好的咖啡馆、走两条街就有高档的精品百货、进一间非常小的店铺就能买到全世界最棒的杂志。每天耳濡目染，她们不必使劲想着把自己打扮潮。每个人独立自我意识都很强，比如东伦敦完全是“ｄｒａｍａ　ｑｕｅｅｎ”的天下，全是异装癖，非常疯。Ｖ劣谒档铰锥亍埃桑浴。牵椋颍臁保有一个很重要的诞生前提：首先产业要成熟。产业成熟之后才能有一个非常初级的分工分级（对周边单位产生带动作用），衍生出一些有趣的人和事物。所谓“ＩＴ　Ｇｉｒｌ”在欧洲文化和电影里一直都有，指“那个与众不同的女孩”，不光是时装圈，只是时装作为一个载体可以最快速的传播给大家。伦敦人追捧的“ＩＴ　Ｇｉｒｌ”更贴近自己生活，倒不是说女孩长的好看、穿的漂亮就行。而是她在文化范畴内有带动力、能够影响别人、成为某个设计师的灵感女神、启动了一种全新的时装风格，这才是“ＩＴ”的标准。比如Ａｌｅｘａ　Ｃｈｕｎｇ。Ｄ憧创蠹业姆绺衽枷瘢耍幔簦濉。停铮螅螅她本身具备一种年轻的东西：不羁、叛逆、随意。实际上这都是很伦敦的东西，甚至她的长相也非常伦敦女孩：小个子，不是传统意义上那种架子很大很巴黎的模特。伦敦人骨子里时髦是非常野生、原生的，从城市里养出来的。（雅昌艺术网）
时尚	明星伴娘伴郎团比拼　李小璐爆乳抢新娘风头【７】	吴辰君大婚（１１　／５１张）　Ｌㄍ迮星吴辰君于６月９日在日本冲绳低调完婚。作为吴辰君圈内好友，林心如、颜颖思、苏有朋担当了这对新婚夫妇的伴娘伴郎。在娱乐圈多年，拥有好人缘的吴辰君，在其大喜之日，更是得到了来自好友刘德华、许鞍华、陈志朋、吴奇隆、等明星送来的祝福。
时尚	私密调查　女人胸围多大最有幸福感？（图）	胸围多大的女人最有幸福感？Ｏ瓤赐夤人的观点：＞萦⒐《太阳报》报道，幸福感好像是和漂亮女性的身体曲线一起出现在人的大脑中的。英国的这项研究调查了３０００位女性，该项研究发言人表示，胸围１００厘米，穿８５Ｃ胸罩的女性对她们的身材更满意，看事物也更乐观。调查显示，穿８５Ｃ胸罩的女人对生活和外貌感到非常满意，且非常自信。其中２５％的人感觉自己比其他女人更幸福，超过４３％的人非常满意自己正在从事的工作，３０％的人很满意自己的爱情生活。Ｔ谡飧觥白钚腋Ｅ琶名单上”，穿８５Ｂ胸罩的女性各项指数名列第二，接下来依次是穿７５Ａ、９０Ｃ和７５Ｂ胸罩的女性，她们都认为自己是沉浸在幸福中的。５鞑槿嗽狈⑾郑穿９０Ｅ胸罩甚至更大罩杯的女人最不快乐，近２０％的人对日常生活非常不满意，１０％的人对爱情生活非常不满意，仅有不到４％的人对事业感到满意。在最不幸福的名单上，穿９０Ｂ胸罩的女人名列第二，接下来是穿９０Ｃ胸罩的。但研究人员发现，并非只有大号罩杯的女人不幸福，穿７０Ａ胸罩的女人也名列第四位。Ｕ飧霰曜家豢淳褪前凑瞻字秩说奶逍突分的，显然不适合中国女人的身材。
时尚	情感：女人心计辨暧昧　老公是否忠贞【３】	（图文无关）：屯事关系过于亲密——不忠Ｕ獾娜肥橇叫怨叵档奈Ｏ涨：大约５０％的男性认为，和有吸引力的同事一起吃饭和饮酒就是不忠；更麻烦的是：２０％的男性承认秘密且柏拉图式地暗恋着自己当前的同事。
时尚	插画时尚　艺术家最喜爱的７件男装	导语：“小心人的暗影和蜜蜂的刺”，这句听上去和服装毫无关系的缅甸俗语，却成了时尚插画师Ｔａｒａ　Ｄｏｕｇａｎｓ的灵感源泉。为了迎接伦敦史上第一届男装时装周，这位现居伦敦的加拿大艺术家用画笔和独到的审美意识向人们展示了她所喜爱的七件男装设计。Ｒ帐跫易钕舶的男装＃薄。蹋幔睿觯椋钐跷迫件套＃病。牵椋觯澹睿悖瑁红色毛衣＃场。祝幔欤簦澹颉。郑幔睢。拢澹椋颍澹睿洌铮睿悖搿按怼笔泳跤』ㄌ鬃褒＃础。蹋铮酰椋蟆。郑酰椋簦簦铮蠲毯夹克Ｕ庑├醋裕玻埃保睬锒季的大师作品包括Ａｌｂｅｒ　Ｅｌｂａｚ　和Ｌｕｃａｓ　Ｏｓｓｅｎｄｒｉｊｖｅｒ设计的Ｌａｎｖｉｎ条纹三件套，Ｒｉｃｃａｒｄｏ　Ｔｉｓｃｉ的带有星星图案的　Ｇｉｖｅｎｃｈｙ（微博）红色毛衣，Ｗａｌｔｅｒ　Ｖａｎ　Ｂｅｉｒｅｎｄｏｎｃｋ的“错”视觉印花套装和Ｋｉｍ　Ｊｏｎｅｓ的Ｌｏｕｉｓ　Ｖｕｉｔｔｏｎ（微博）毛毯夹克等。“男装的视觉呈现通常比女装更低调些”，Ｄｏｕｇａｎｓ说，“所以只要加入一点充满趣味的曲折设计，整个作品看上去就很有内容。”３了标志性的绚丽手绘，Ｄｏｕｇａｎｓ还在电子手稿中加入了飞舞或爬行的蜜蜂。隐藏着各种“小动作”的精美插画加上有些诡异的背景音乐使Ｄｏｕｇａｎｓ　的作品显得栩栩如生，又让人有些摸不着头脑。“我想在保持手工艺的同时，带给观众们其他感官上的刺激”，画家解释道，“一些出乎意料的动作特别吸引我。”
时尚	腕上揭秘：用钻石点缀刻度【６】	顶级珠宝表＝颐厝巳海赫嬲热爱收藏的贵胄巨子Ｎ蘼刍实鄣腔，还是皇家嫁娶，主角的手上一定佩戴着高珠宝表。用常人观念来理解的话，可以说是把一幢别墅或一台劳斯莱斯戴在手上。高珠宝表是世界表坛金字塔的那个尖，与“高复杂功能表”并肩支撑起殿堂的屋顶。当你亲眼看到一款高珠宝表实物，除了震撼还是震撼。而拥有这类钻表的男人的身价到底有多少，恐怕也是个谜了。１︾辏ǎ拢欤幔睿悖穑幔椋睿┒酪晃薅的高珠宝全钻飞行陀飞轮腕表＝岷媳︾晏赜械姆尚型臃陕纸峁挂约傲钊苏鸷车拿雷晔量与切割及镶嵌工艺。全球仅此一只，成为真正的收藏家不肯放过的非凡表款。它同时也是宝珀在高珠宝男表领域非常罕见的作品。＝诗丹顿（Ｖａｃｈｅｒｏｎ　Ｃｏｎｓｔａｎｔｉｎ）Ｋａｌｌａ　Ｍｏｏｎｐｈａｓｅ高珠宝月相表Ｌ辶克洞蟮淖晔排列出图案来，月相显示上的小月亮也由钻石组成。具备能量显示功能。先不要说它的价值，因为即便你很有钱也很难买到。０彼（Ａｕｄｅｍａｒｓ　Ｐｉｇｕｅｔ）“千禧”系列高珠宝表Ｍ衷残蔚谋砜鞘恰扒ъ”系列的标志，而这款“千禧”充满方形钻石，已经几乎看不到贵金属表壳的身影。这，就是任何一款高珠宝表的显著特征。
时尚	女人婚后出轨不能自拔　解读女人婚后出轨心态（图）	我３５岁，先生大我５岁，很爱我。可我总有一个心结深藏于内心，婚后第３年，我持续外遇，一共３次，对方都比我大１０～２０岁，每一次都是身心既伤且痛。读了心理学方面的书后，我领悟到自己身上存在着的或许是恋父情结，因为我小时候父母的关爱和安全感极度缺乏。随着对自己认识的加深，我理性了许多，但仍然没有足够的力量拒绝那根深蒂固或许还带有强迫性质的致命吸引。
时尚	男人注意：女友想让你娶她的１０个暗示	阅读提示：总有女人在困惑：“我的男人是不是真心爱我的呢？”其实，男人也有同样的顾虑，也时常担心自己的女人是爱自己，还是图其它的呢？下面来看看女人真心爱男人的十大表现，请将自己的女朋友或老婆对号入座吧！Ｒ弧把男人带回家介绍给自己的父母Ｒ桓雠人遇到自己真心喜爱的男人，必然会把他带回家，希望让父母能够分享自己的这份喜悦，也希望能够获得父母的支持和认可。如果她不想带男人回家，或者虽然带男人回家，却对父母说这是她的同学：这样的原因有三个：一是她还有别的男人正在交往，一时难以做出割舍。二是她暂时还没有确定是不是真的能够和这个男人一起走下去，原因也许是男人可能物质上不太富有，或性格上有些弱点让她暂时接受不了。三怕父母不同意时闹的比较尴尬，所以只好介绍说是同学，这样既让父母了解了情况，又避免了尴尬的场面。６、把男人介绍给自己的闺蜜Ｅ人大多有攀比心理，如果闺蜜已经找了男友，并且比较优秀，那她在还未确定对这个男人的爱时，是不会把他介绍给闺蜜的。如果她把男人介绍给了闺蜜，一定是确定了自己的这份爱，希望闺蜜与自己一起分享这份快乐，并借此炫耀自己找了个好男人。Ｈ、将自己的印记完全渗透到男人的工作和生活中Ｅ人真心爱一个男人时，会将自己的大头贴塞进男人的钱包；会在男人的办公桌上放一张两人的合影；会在男人的衣柜里塞上几件自己的衣服；会在男人的床上摆上自己的睡衣，总之她会将所有能够代表她存在的东西统统渗透到男人的工作和生活中，目的很明确，这个男人是他的，她要让所有认识男人的朋友一看就知道这个男人身边已经有了女人，这个女人就是她。Ｋ摹⒃诹饺耸澜缋锘崾辈皇钡姆⒌阈∑⑵Ｕ庖坏闳煤芏嗄腥私邮懿涣耍因为男人和女人的思维方式有差异，男人觉得努力工作，努力赚钱，相互体谅，给女人过最好的物质生活，这就是对女人最好的爱。其实女人要的最好的爱是心灵的呵护再加上最好的物质生活。Ｄ腥斯ぷ饕惶旎氐郊抑后就想看会报纸或坐在沙发上休息一会，女人这时候便会故意没事找事的发点小脾气，以证明她的存在，女人的这种做法经常会把男人惹的大发雷霆，其实完全没有必要，这只不过是女人示爱的一种表现，她因为沉浸在爱的幸福中才会有此举动。如果哪天你的女人见了你没有小脾气可发，那男人就要小心了。Ｎ濉⒂镁∷有的心思去粘着男人Ｄ腥松习啵她会时不时来个短信或电话骚扰一下；男人喝水，她也喝水；男人吃零食，她也吃零食；有的女人甚至连自己的男人去洗手间她都要进去骚扰一下；男人出差，她会每天打电话追问行踪；男人出去应酬，她更是一会一个电话打个不停。许多男人也受不了女人的这种种表现，但这的确是女人真心爱你的时候才会这么做，如果你出差她三天不给你打电话试试，估计男人头上要急的冒烟了。Ａ、不介意在公共场合和男人有亲昵行为Ｒ桓錾畎着男人的女人，和这个男人在公共场合在一起，最低限度也会挽着他的胳膊，生怕一松手她就会跑掉，其实女人对爱情没有多少安全感，她只有把这份爱牢牢的抓在手里时，才会觉得心里塌实一点。男人在公共场所都比较注意形象，不喜欢女人和自己太过亲昵，但女人一般不会管这一切，她会不断的做一些亲昵的动作，让所有人都看一看，这个男人爱她，她也爱这个男人，此时此刻，她正沉浸在爱的幸福中。Ｆ摺⒎浅＝橐饽腥嗽诠共场合盯着性感美女不放Ｒ桓雠人真心爱一个男人时，她希望男人所有的时间、精力和眼神都放到自己身上，不允许有片刻的游离。而男人看美女则纯粹出于一种本能，眼神会情不自禁的跟着美女走，和深爱自己的女人一起出去，这种举动千万要小心，搞不好你的胳膊上就会青一块紫一块的。０恕⑾不段适澜缟献钌档奈侍恺Ｅ人真心爱上一个男人，多半出现脑残表现，会拿那个让无数男人都无法回答的傻问题来逗男人玩，如果你妈和我同时掉水里，你会先救哪一个？这个问题想必很多男人都听过，怎么回答自己想。当你经常听到这个问题时，这个女人一定是真心爱你的。＞拧⒕咀拍腥说墓去不放Ｈ绻男人不小心把过去恋爱那点事在女人的威逼利诱之下全部坦白，那我要恭喜你，这点光辉历史你是忘不掉了，因为你的女人会替你记着，她会在你们有矛盾的时候把这些事情拿出来涮你一下，许多男人被女人的这种行为折腾的受不了，大喊你饶了我吧。对不起，不大可能。因为女人就这样的秉性，只要她是真心在爱着你，就别指望有饶你的那一天。Ｊ、当男人事业的低谷或出现健康问题时，会留在身边支持他，照顾他Ｒ桓雠人真心爱一个男人时，她是不会计较这个男人身上有多少钱，当男人事业的低估或出现健康问题时，她会很坚定留在身边支持他，鼓励他，照顾他。两人一起共渡难关，人们常说患难见真情，这种时候才能真正检验一个人的爱。
时尚	２０１２纽约音乐节　欧美型人街拍自由奔放（组图）【８】	２０１２纽约Ｇｏｖｅｒｎｏｒｓ　Ｂａｌｌ音乐节欧美型人街拍
时尚	我用一句话搞定老公的情人【７】	赢家是成熟的爱＠瞎搬出后，一直住在办公室，没有另外去找房子。我理解老公的意思，这是老公的一个姿态，做给我，也做给那女孩。Ｎ乙巡嗝媪私夤，女孩所在那家医院，是提供集体宿舍的，女孩认识我老公后，想自己单独找住处，当时老公拿钱给她租了房，但医院要求单身护士住在医院宿舍，方便上夜班，女孩违规受到批评，只好又退了房。Ｈ缃瘢老公坚持住在办公室，两人就没有了继续“出轨”的场合。Ａ硗猓老公不住办公室，经济上也会有些问题。我婆婆患上尿毒症已两年，一个月得透析三至四次。小姑是外企白领，因为婆婆的病辞职在家，自己在网上开了个小“商店”，收入没多少。老公的工资几乎全交给公婆，我们过日子和他零花，都用我的工资。为了多帮公婆一点，孩子我也放他家了，让小姑照管，这样，每月好给自尊心很强的小姑一笔固定劳务费。７志恿耍怎么说，也没有我再拿资金“赞助”他出轨的道理。我只是将他的零花翻了两倍，算是加进了饭钱，按月打到他卡上。公婆家里，该干什么我还是去干。公婆、小姑都未发现我们夫妻出现麻烦。０肽旰芸旃去。约定的日子是个星期六。一大早，门铃就响了。＠瞎蔫蔫地站在门口。！澳阊≡窆了？”！笆恰！饼！把≡褡剂耍课铱刹换岣你第二次。”！按蛩牢椅乙膊换嵊械诙次了。”！澳慊姑晃饰已≡窆了没有呢。”＠瞎一把抱住了我，力气大得像要杀人：“还用问？老婆，求你了，先让我进来。”Ｅ孩没等到半年，就主动离开了我老公，说是应聘到南方去发展。祝福她找到自己成熟的爱！
时尚	盘点舒淇七段绯闻情史	舒淇（资料图）Ｊ驿吭名林立慧，１９７６年４月出生在台湾一个较为清贫的家庭，父亲做着一份文职，母亲是家庭主妇，还有一个弟弟。舒淇从小就是叛逆女，经常在学校里打架。关于童年，舒淇记得的就是父母拿着棒子在后面追她跑。十来岁，舒淇就数次离家出走，直至被学校开除。Ｓ捎诩揖称逗，从高中起就不再读书，为了赚钱养家，她当上了业余模特，也因为养成的独立个性，至今仍没有改变。１６岁那年，舒淇在街上被星探发现，开始拍摄大量尺度大胆的写真及电影。当时柯俊雄签下舒淇，舒淇为其拍摄６部限制级电影，仅获得１０万元薪酬。后来，舒淇受王晶和文隽之邀到香港，拍摄《玉蒲团》等三级片，一脱成名，红遍两岸三地。如此成名让舒淇背负了相当的代价，从此被贴上“三级艳星”的标签。
时尚	每天只需５分钟按摩　去浮肿不当“黄脸婆”	浮肿的双眼让眼睛小一半，黯沉的肤色也让妆变得好不服贴，真希望有急救丸，吃下去浮肿脸立刻紧缩成鹅蛋脸！其实，选对保养产品，加上５分钟的按摩，能快速改善充满问题的早晨肌，拥有好气色！Ｒ弧⒉蝗ソ侵视涝抖疾换岚Ｊ紫却蠹乙了解肌肤为什么会变黑的呢？那是由于皮肤代谢过慢、干燥、或是肌肤上的污垢、油脂没有及时的清洁干净，让肌肤的黑色素沉淀，而黑色素越来越多肌肤也理所当然的变黑了，最终也就导致了角质层变得越来越厚，而皮肤都有一个更新的周期，７天的时间我们就要对肌肤进行去角质，这样才能为后续的美白产品的吸收打好坚实的基础。＃裕桑校樱涸缟掀鸫灿惺绷巢亢荀龀粒可以用化妆棉肌肤擦去表面的老废角质Ｒ曰妆棉沾取“角质液”，按摩肌肤，帮助肌肤擦去表面的老废角质。例如早上起床，有时脸部很黯沉，哪是因为表面堆积了还没代谢掉的老废角质，可以选择成分温和，具有去除老废角质的化妆水，擦拭肌肤的力道要轻，是重点，才不会过度拉扯造成肌肤受伤。Ｈソ侵市枰注意的问题：＃薄按照不同的皮肤类型选择不同的去角质产品。干性肌肤的去角质产品最好选用啫喱质地，而混合肌肤和油性肌肤的最好选用磨砂质地的。＃病⑷ソ侵是耙对肌肤卸妆。这样可以把残留在肌肤表面的东西清理干净，也可以在肌肤上形成一层保护膜。６、想要美白，保湿是第一步Ｓ捎诩》羟褰嗪笏分失去的较多，所以为了让肌肤保持在一个相对稳定的状态下，我们洁面后要对肌肤进行补水。＃裕桑校樱杭》羲润度在８０％以上，美白产品的才能吸收６喷雾的选择上最好不要有任何功效，就是单纯的保湿效果就可以了，这样为后续美白产品的吸收打好基础。因为只有在肌肤水润度在８０％以上，而后续美白产品的吸收才能达到５０％以上。
时尚	帅哥变大叔　３０大＂琼瑶男郎＂今昔震撼大对比	秦汉《窗外》饰“李立维”。Ｓ笆尤Φ摹霸煨歉呤帧辈簧伲但在言情剧领域琼瑶阿姨绝对是捧人最厉害的。提到琼瑶剧，相信不少人想到的第一个词就是“苦情”，琼瑶的剧里大段大段痛彻心扉的哭戏也捧红了一批一批梨花带雨的“琼瑶女郎”们，从林青霞、刘雪华到陈德容、赵薇再到李晟、海陆，几十年来琼瑶剧的女主角们迅速在娱乐圈大红大紫成为备受瞩目的明星。虽然女性撑起半边天，琼瑶戏里女性角色都很出彩，但也不能忽视琼瑶剧的男主角们，秦汉的儒雅，马景涛的咆哮都是银幕不能取代的经典。都说“美人迟暮”，“琼瑶女郎”们经过了岁月这把杀猪刀的摧残，大多都徐娘半老美貌不再。在衰老面前，女人和男人都是公平的，没有谁的容颜不会变老。那些曾经琼瑶剧里的翩翩公子和英俊小生，如今不少都已经是迟暮的大叔了，帅气不再令人唏嘘。
时尚	６款清爽保湿洁面乳　洗净油污找回净透白【２】	碧欧泉活泉／矿泉爽肤洁面乳２慰技鄹瘢海保担埃恚欤２４０元２品介绍：专为亚洲人设计配方，温和的浅绿色乳霜质地，能够彻底清除污垢，净化肌肤。能够调节水油平衡，遇水变成轻柔如丝般质感的泡沫及其柔密轻盈。洗后肌肤感到清爽柔软，呈现健康的活力和透亮，没有干涩的感觉。令肌肤由内而外透出活力光彩，时时充满生机，水润鲜活。！舅克芙／ｃｅｔａｐｈｉｌ　温和洗面奶】２品推荐：Ｃｅｔａｐｈｉｌ／丝塔芙温和洗面奶２慰技鄹瘢海担梗保恚欤１７８元２品介绍：配方极其温和，全面清洁肌肤的同时不引起刺激，特别适合干燥、敏感、粉刺、湿疹等问题肌肤；舒缓因皮肤用药带来的干燥和发痒！ＰＨ值接近皮肤正常的酸碱性，维持皮肤的酸碱平衡。同时非皂性非碱性的配方不产生泡沫，不会堵塞毛孔产生粉刺。具有卓越洁净能力，能彻底清洁肌肤污物，祛除皮肤碎屑，祛除多余油脂。＠嫁ⅰ∏邃奕岱艚嗝纨２品推荐：Ｌａｎｃｏｍｅ／兰蔻　清滢柔肤洁面乳２慰技鄹瘢海保玻担恚欤３２０元２品介绍：富含白莲，法国玫瑰及野玫瑰果油精华，与肌肤很好接合，深层清除毛孔的油脂污垢、坏死细胞、和化妆品，有助清洁毛孔。泡沫丰富，质地温和，敏感性皮肤也可使用。不但能洗去脸部彩妆及不洁物，温和的洁净肌肤并维持原本的健康状态，使肌肤恢复光泽。能帮助老角质剥落，令肌肤变得明亮有光泽，清爽、洁净。
时尚	饮食养生：８种食物最滋补女人身体（组图）	适合女性滋阴保肾的食物有很多种类，现在，小编就为女性们介绍几种常见的女性滋补食物……世上的食物有千万种之多，每一种均提供不同的营养，满足不同的需要，因此均具有其存在价值。尤其在医学上，饮食营养知识更日新月异，不断寻求新的领域。有营养的食物固然是值得推荐，今天为大家盘点了８种最适合女性滋补身体的食物。
